mode,run_name,text_completion_answered,text_completion_total,text_completion_rate,text_attention_ok,image_completion_answered,image_completion_total,image_completion_rate,image_accuracy_correct,image_accuracy_known_total,image_accuracy_rate,image_questions_all_correct,image_attention_ok,captcha_ok,overall_ok,reached_thank_you,submitted,validation_session_id,validation_submission_ts_utc,validation_match_delta_s,total_exec_steps,unique_answer_items_touched,next_click_count,submit_click_count,order_same_as_baseline,order_common_prefix_len,order_jaccard_overlap,order_sequence_ratio
completion,run_1,9,9,1.0,True,4,4,1.0,1,4,0.25,False,True,True,False,True,True,5be23876a2ed0fa0cf2583f6bf3b2733,2026-02-24T16:54:53.820000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_2,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,6cd292a525ddf589938e36c4449d2f1a,2026-02-24T16:55:30.227000+00:00,,19,19,2,1,False,0,1.0,0.8947368421052632
completion,run_3,9,9,1.0,True,4,4,1.0,1,4,0.25,False,True,True,False,True,True,16cd80584759be71ef53d751460c0c39,2026-02-24T16:56:02.593000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_4,9,9,1.0,True,4,4,1.0,1,4,0.25,False,True,True,False,True,True,8dcf7ef6b7a46ab8829fd1b1ea7ef018,2026-02-24T16:56:36.226000+00:00,,19,19,2,1,False,0,1.0,0.8421052631578947
completion,run_5,9,9,1.0,True,4,4,1.0,2,4,0.5,False,False,True,False,True,True,1b262cc7e62960d4968b3f46a9634e4a,2026-02-24T16:57:11.424000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_6,9,9,1.0,True,4,4,1.0,2,4,0.5,False,False,True,False,True,True,4308714e52f88181bd50a4defb51ca74,2026-02-24T16:57:30.937000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_7,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,9735c0a447c49eb8d110004d2945adbb,2026-02-24T16:57:49.954000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_8,9,9,1.0,True,4,4,1.0,1,4,0.25,False,False,True,False,True,True,bff701d3408fd9363520d9c3c9360596,2026-02-24T16:58:07.603000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_9,9,9,1.0,True,4,4,1.0,2,4,0.5,False,False,True,False,True,True,45e5fc024fa4b45347d77c7dde23c0c7,2026-02-24T16:58:29.519000+00:00,,19,19,2,1,False,0,1.0,0.8947368421052632
completion,run_10,9,9,1.0,True,4,4,1.0,2,4,0.5,False,False,True,False,True,True,56a8f0f818faae8b0cb221480567fa13,2026-02-24T16:58:49.168000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_11,9,9,1.0,True,4,4,1.0,1,4,0.25,False,True,True,False,True,True,6431a38e6d26494a1582a794d1dcac58,2026-02-24T16:59:08.743000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_12,9,9,1.0,True,4,4,1.0,1,4,0.25,False,False,True,False,True,True,6b57ca4afa758c4e9edbfc491b19e253,2026-02-24T16:59:36.351000+00:00,,19,19,2,1,True,19,1.0,1.0
