mode,run_name,run_dir,text_completion_answered,text_completion_total,text_completion_rate,text_attention_ok,image_completion_answered,image_completion_total,image_completion_rate,image_accuracy_correct,image_accuracy_known_total,image_accuracy_rate,image_questions_all_correct,image_attention_ok,captcha_ok,overall_ok,reached_thank_you,submitted,validation_session_id,validation_submission_ts_utc,validation_match_delta_s,total_exec_steps,unique_answer_items_touched,next_click_count,submit_click_count,order_same_as_baseline,order_common_prefix_len,order_jaccard_overlap,order_sequence_ratio
completion,run_2004_NRT,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_2004_NRT,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,373dc5e7a088b62da97cbd74176b8bdd,2026-02-24T01:05:27.188000+00:00,1.093,19,19,2,1,True,19,1.0,1.0
completion,run_2005_NRT,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_2005_NRT,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,3a2fa9c35f744e6182f06b93c65d7a76,2026-02-24T01:05:50.273000+00:00,1.034,19,19,2,1,True,19,1.0,1.0
completion,run_2005_NRT_2,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_2005_NRT_2,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,fb722401f3d65f94505987d91e6527fc,2026-02-24T01:06:27.537000+00:00,1.067,19,19,2,1,True,19,1.0,1.0
completion,run_2006_NRT,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_2006_NRT,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,aa346de08b2f126e829494b3b3bb7e64,2026-02-24T01:06:51.952000+00:00,1.077,19,19,2,1,True,19,1.0,1.0
completion,run_2006_NRT_2,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_2006_NRT_2,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,ee03f9c3a16cde91f8714e97aac80eae,2026-02-24T01:07:19.004000+00:00,1.06,19,19,2,1,True,19,1.0,1.0
completion,run_2007_NRT,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_2007_NRT,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,1d530f5492cc5fd76098760e10c6c995,2026-02-24T01:07:43.165000+00:00,1.086,19,19,2,1,True,19,1.0,1.0
completion,run_2007_NRT_2,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_2007_NRT_2,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,a114bdf59285b4c819caf2f9df6a2ff9,2026-02-24T01:08:09.635000+00:00,1.186,19,19,2,1,True,19,1.0,1.0
completion,run_2008_NRT,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_2008_NRT,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,24256440ab8093478b6dcdc9c431253a,2026-02-24T01:08:34.888000+00:00,1.197,19,19,2,1,True,19,1.0,1.0
completion,run_2008_NRT_2,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_2008_NRT_2,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,2e1bc402318c1be61ce966ed6ea06b25,2026-02-24T01:08:57.714000+00:00,1.058,19,19,2,1,True,19,1.0,1.0
completion,run_2008_NRT_3,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_2008_NRT_3,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,d7293943a1a16473f32339004824eb6e,2026-02-24T01:09:22.550000+00:00,1.156,19,19,2,1,True,19,1.0,1.0
completion,run_2009_NRT,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_2009_NRT,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,c4e1ef877e8665240c28a7f139edd6a1,2026-02-24T01:10:10.357000+00:00,1.059,19,19,2,1,True,19,1.0,1.0
completion,run_2010_NRT,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_2010_NRT,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,9e615a2b6dcb7472558fc3dcdd49a42f,2026-02-24T01:10:31.062000+00:00,1.093,19,19,2,1,True,19,1.0,1.0
completion,run_2010_NRT_2,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_2010_NRT_2,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,e6c9445ead78db68937ee415f7709891,2026-02-24T01:10:52.266000+00:00,1.214,19,19,2,1,True,19,1.0,1.0
completion,run_2010_NRT_3,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_2010_NRT_3,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,7cfac1bba98e3fa671d79da0b8d3baf0,2026-02-24T01:11:20.746000+00:00,1.152,19,19,2,1,True,19,1.0,1.0
completion,run_2011_NRT,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_2011_NRT,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,aa1d5c090d7d1e1b0d3c1ca384916b07,2026-02-24T01:12:00.133000+00:00,1.126,19,19,2,1,True,19,1.0,1.0
completion,run_2012_NRT,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_2012_NRT,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,ec75f08aa32f7f14f2602c4ac97668bc,2026-02-24T01:12:28.143000+00:00,1.087,19,19,2,1,True,19,1.0,1.0
completion,run_2012_NRT_2,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_2012_NRT_2,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,f29f61e81d85524cfb016fdb4bf2eb77,2026-02-24T01:12:58.042000+00:00,1.176,19,19,2,1,False,11,1.0,0.9473684210526315
completion,run_2012_NRT_3,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_2012_NRT_3,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,ddd84ae64778b14213665aba50309e4c,2026-02-24T01:13:31.938000+00:00,1.063,19,19,2,1,True,19,1.0,1.0
completion,run_2013_NRT,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_2013_NRT,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,81e3e6b35472fa599ea8110acc1f92de,2026-02-24T01:13:53.320000+00:00,1.086,19,19,2,1,True,19,1.0,1.0
completion,run_2013_NRT_2,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_2013_NRT_2,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,e98aa6eb7e6c8c745e0aa81aaa6da97b,2026-02-24T01:14:17.055000+00:00,1.087,19,19,2,1,True,19,1.0,1.0
completion,run_2014_NRT,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_2014_NRT,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,87c2f226d12b72b0dbfe7d96a6ab78d3,2026-02-24T01:14:47.943000+00:00,1.083,19,19,2,1,True,19,1.0,1.0
completion,run_2014_NRT_2,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_2014_NRT_2,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,aa7f9c37a09b74a3d7fe605beb2e972d,2026-02-24T01:15:13.766000+00:00,1.112,19,19,2,1,True,19,1.0,1.0
completion,run_2015_NRT,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_2015_NRT,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,f7d65ebc997acc9cc80efa9799984aed,2026-02-24T01:15:35.033000+00:00,2.463,19,19,2,1,True,19,1.0,1.0
