mode,run_name,run_dir,session_id,plan_reject_count,planning_failure_count,answer_failure_count,infra_failure_count,other_failure_count,dominant_category,dominant_failure_type,stalled,empty_plan_count,first_error,text_success_attempt,text_success_observe_index,text_total_attempts_until_success,text_total_attempts_observed,text_observe_blocks,text_success_found,image_success_attempt,image_success_observe_index,image_total_attempts_until_success,image_total_attempts_observed,image_observe_blocks,image_success_found,category_planning_format,sample_planning_format,category_planning_completeness,sample_planning_completeness,category_planning_schema_key,sample_planning_schema_key,category_answer_option_mapping,sample_answer_option_mapping,category_answer_value_constraints,sample_answer_value_constraints,category_infra_or_transport,sample_infra_or_transport,category_other,sample_other
completion,run_1,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_1,ac204eb28ee279827f33facb9f84f99c,10,0,10,0,0,answer_value_constraints,answer,False,4,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",1,4,10,10,4,True,2,1,2,2,1,True,0,,0,,0,,0,,10,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
completion,run_2,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_2,818385468f45061d9c07c8faf4fb229a,7,2,5,0,0,answer_value_constraints,answer,False,3,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",1,2,4,4,2,True,1,2,4,4,2,True,0,,2,Completion mode requires exactly one final navigation click (next/submit); found 0.,0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",4,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
completion,run_3,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_3,771464e2918c4c0b2f1c13422cbd01fc,6,2,4,0,0,answer_value_constraints,answer,False,2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",2,2,5,5,2,True,2,1,2,2,1,True,0,,1,Completion mode requires exactly one final navigation click (next/submit); found 0.,1,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'field1', 'value': ''}",1,"Select value must match ACTION_SPACE option: {'tool': 'select', 'key': 'follow_by_age', 'value': ''}",3,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
completion,run_4,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_4,367d2c87f0f76f69b41ff7355249e71b,4,1,3,0,0,answer_value_constraints,answer,False,1,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",3,1,3,3,1,True,3,1,3,3,1,True,0,,1,Completion mode requires exactly one final navigation click (next/submit); found 0.,0,,0,,3,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
completion,run_5,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_5,620ed68cda605d6b1c88d0ce37884832,4,0,4,0,0,answer_value_constraints,answer,False,2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",1,2,4,4,2,True,2,1,2,2,1,True,0,,0,,0,,0,,4,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
completion,run_6,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_6,389160c4506512a891d4250a87734fa4,4,0,4,0,0,answer_value_constraints,answer,False,2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",1,2,4,4,2,True,2,1,2,2,1,True,0,,0,,0,,0,,4,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
completion,run_7,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_7,f4e1f02df9a7fbcb0692f6cd3235fd8d,3,0,3,0,0,answer_value_constraints,answer,False,1,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",3,1,3,3,1,True,2,1,2,2,1,True,0,,0,,0,,0,,3,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
completion,run_8,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_8,c3ae0ea869eef0d16fb967b4f2d68633,1,0,1,0,0,answer_value_constraints,answer,False,1,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",2,1,2,2,1,True,1,1,1,1,1,True,0,,0,,0,,0,,1,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
completion,run_9,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_9,5bf2b926f78dc5c4a74a108754eede31,3,0,3,0,0,answer_value_constraints,answer,False,1,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",3,1,3,3,1,True,2,1,2,2,1,True,0,,0,,0,,0,,3,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
completion,run_10,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_10,ba79d49b5a8a06997e51ed47f28fca16,4,1,3,0,0,answer_value_constraints,answer,False,1,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",3,1,3,3,1,True,3,1,3,3,1,True,0,,1,Completion mode requires exactly one final navigation click (next/submit); found 0.,0,,0,,3,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
completion,run_11,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_11,eb8f97babd602a4a4667e3b7ed9993f2,1,0,1,0,0,answer_value_constraints,answer,False,1,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'field_10', 'value': ''}",1,1,1,1,1,True,2,1,2,2,1,True,0,,0,,0,,0,,1,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'field_10', 'value': ''}",0,,0,
completion,run_12,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_12,76c5ea2d49a618b3f46436de5167a146,2,1,1,0,0,answer_value_constraints,planning,False,1,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",3,1,3,3,1,True,1,1,1,1,1,True,0,,1,Completion mode requires exactly one final navigation click (next/submit); found 0.,0,,0,,1,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
completion,run_13,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_13,75ddb9536465ad262a2f463c9a4044ff,8,1,7,0,0,answer_value_constraints,answer,False,3,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",2,3,8,8,3,True,2,1,2,2,1,True,0,,1,Completion mode requires exactly one final navigation click (next/submit); found 0.,0,,1,"Select value must match ACTION_SPACE option: {'tool': 'select', 'key': 'follow_by_age', 'value': ''}",6,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
completion,run_14,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_14,2746a883831e8f837c6a0a25bae950c7,5,1,4,0,0,answer_value_constraints,answer,False,2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",2,2,5,5,2,True,2,1,2,2,1,True,0,,1,Completion mode requires exactly one final navigation click (next/submit); found 0.,0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",3,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
completion,run_15,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_15,4273231c0d303d5a7fdcc30afe3d96e7,4,1,3,0,0,answer_value_constraints,answer,False,2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",1,2,4,4,2,True,2,1,2,2,1,True,0,,1,Completion mode requires exactly one final navigation click (next/submit); found 0.,0,,0,,3,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
