mode,run_name,run_dir,session_id,plan_reject_count,planning_failure_count,answer_failure_count,infra_failure_count,other_failure_count,dominant_category,dominant_failure_type,stalled,empty_plan_count,first_error,text_success_attempt,text_success_observe_index,text_total_attempts_until_success,text_total_attempts_observed,text_observe_blocks,text_success_found,image_success_attempt,image_success_observe_index,image_total_attempts_until_success,image_total_attempts_observed,image_observe_blocks,image_success_found,category_planning_format,sample_planning_format,category_planning_completeness,sample_planning_completeness,category_planning_schema_key,sample_planning_schema_key,category_answer_option_mapping,sample_answer_option_mapping,category_answer_value_constraints,sample_answer_value_constraints,category_infra_or_transport,sample_infra_or_transport,category_other,sample_other
completion,run_1,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_1,68c8f52c6cc2c78b79e28b7ea9981253,15,8,7,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'age', 'employment_status', 'attention_text_mid']",,,,15,5,False,,,,0,0,False,0,,8,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'age', 'employment_status', 'attention_text_mid']",0,,7,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'mood_impact', 'value': 'Somewhat'}",0,,0,,0,
completion,run_2,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_2,1e94cb0fcd31178404ab56d0b46c225a,1,1,0,0,0,planning_completeness,planning,False,1,Completion mode requires exactly one final navigation click (next/submit); found 0.,1,1,1,1,1,True,2,1,2,2,1,True,0,,1,Completion mode requires exactly one final navigation click (next/submit); found 0.,0,,0,,0,,0,,0,
completion,run_3,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_3,3865c40dab81b2e75fa13cefc6004a6a,3,3,0,0,0,planning_completeness,planning,False,1,Completion mode requires answering all answerable items before navigation; missing keys: ['employment_status'],3,1,3,3,1,True,1,1,1,1,1,True,1,"Each step must be an object, got: '{""tool"":""click"",""key"":""submit""}'",2,Completion mode requires answering all answerable items before navigation; missing keys: ['employment_status'],0,,0,,0,,0,,0,
completion,run_4,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_4,ca5276fbabd0c83f4152bfc3b2ec01a3,3,3,0,0,0,planning_completeness,planning,False,2,Completion mode requires exactly one final navigation click (next/submit); found 0.,1,2,4,4,2,True,1,1,1,1,1,True,0,,3,Completion mode requires exactly one final navigation click (next/submit); found 0.,0,,0,,0,,0,,0,
completion,run_5,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_5,7b33048f4cfbcb388f791d0cb1a418d9,2,2,0,0,0,planning_completeness,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'employment_status']",3,1,3,3,1,True,1,1,1,1,1,True,0,,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'employment_status']",0,,0,,0,,0,,0,
completion,run_6,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_6,a1a4da5ec8325d2d18f41e49957ad9a7,7,7,0,0,0,planning_completeness,planning,False,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,3,8,8,3,True,1,1,1,1,1,True,0,,7,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_7,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_7,8a1d66fbb7e2a024fa8201748ca6e147,2,2,0,0,0,planning_completeness,planning,False,1,Completion mode requires answering all answerable items before navigation; missing keys: ['employment_status'],3,1,3,3,1,True,1,1,1,1,1,True,0,,2,Completion mode requires answering all answerable items before navigation; missing keys: ['employment_status'],0,,0,,0,,0,,0,
completion,run_8,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_8,d45dd54a82eb37b939625f5308e305f4,3,3,0,0,0,planning_completeness,planning,False,2,Completion mode requires exactly one final navigation click (next/submit); found 0.,1,2,4,4,2,True,1,1,1,1,1,True,0,,3,Completion mode requires exactly one final navigation click (next/submit); found 0.,0,,0,,0,,0,,0,
completion,run_9,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_9,fb4a2a34d9b489f23fecf2696d0507bb,3,3,0,0,0,planning_completeness,planning,False,1,Completion mode requires exactly one final navigation click (next/submit); found 0.,1,1,1,1,1,True,2,1,2,2,1,True,1,"Each step must be an object, got: '{""tool"":""click"",""key"":""submit""}'",2,Completion mode requires exactly one final navigation click (next/submit); found 0.,0,,0,,0,,0,,0,
completion,run_10,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_10,7c7b66f530281ef2ed5470550047da2c,3,3,0,0,0,planning_completeness,planning,False,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'employment_status']",1,2,4,4,2,True,1,1,1,1,1,True,0,,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'employment_status']",0,,0,,0,,0,,0,
completion,run_11,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_11,167fdfdd62010738ab97c4a50038a3f3,3,3,0,0,0,planning_completeness,planning,False,1,Completion mode requires answering all answerable items before navigation; missing keys: ['employment_status'],3,1,3,3,1,True,2,1,2,2,1,True,0,,3,Completion mode requires answering all answerable items before navigation; missing keys: ['employment_status'],0,,0,,0,,0,,0,
completion,run_12,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_12,00e9f1a540100d3e850bc25c69217cb7,3,3,0,0,0,planning_completeness,planning,False,1,Completion mode requires answering all answerable items before navigation; missing keys: ['employment_status'],3,1,3,3,1,True,2,1,2,2,1,True,0,,3,Completion mode requires answering all answerable items before navigation; missing keys: ['employment_status'],0,,0,,0,,0,,0,
completion,run_13,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_13,4193f4f17b3f2365a1efe7bd6f0fd8b5,2,2,0,0,0,planning_completeness,planning,False,1,Completion mode requires answering all answerable items before navigation; missing keys: ['employment_status'],3,1,3,3,1,True,1,1,1,1,1,True,0,,2,Completion mode requires answering all answerable items before navigation; missing keys: ['employment_status'],0,,0,,0,,0,,0,
completion,run_14,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_14,60fced501c3c10131ba5a0d9230be5e7,7,7,0,0,0,planning_completeness,planning,False,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'employment_status']",2,3,8,8,3,True,1,1,1,1,1,True,0,,7,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'employment_status']",0,,0,,0,,0,,0,
completion,run_15,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_15,d9480c7335485a728934c4f1c141972d,2,2,0,0,0,planning_completeness,planning,False,1,Completion mode requires exactly one final navigation click (next/submit); found 0.,1,1,1,1,1,True,2,1,2,2,1,True,1,"LLM did not return JSON array. Raw: [""{""tool"":""click"",""key"":""submit""}""]",1,Completion mode requires exactly one final navigation click (next/submit); found 0.,0,,0,,0,,0,,0,
completion,run_16,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_16,1b124d0d63122eac90dd0bb03e20e237,3,3,0,0,0,planning_completeness,planning,False,2,Completion mode requires answering all answerable items before navigation; missing keys: ['employment_status'],1,2,4,4,2,True,1,1,1,1,1,True,0,,3,Completion mode requires answering all answerable items before navigation; missing keys: ['employment_status'],0,,0,,0,,0,,0,
completion,run_17,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_17,d86106606471489b70666a58bcaa58ef,6,6,0,0,0,planning_completeness,planning,False,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'employment_status']",3,2,6,6,2,True,2,1,2,2,1,True,0,,6,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'employment_status']",0,,0,,0,,0,,0,
completion,run_18,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_18,6a7eb1ae0b39d9fcfc4c4f172e35f281,0,0,0,0,0,,,False,1,,1,1,1,1,1,True,1,1,1,1,1,True,0,,0,,0,,0,,0,,0,,0,
completion,run_19,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_19,dfd9efff7986cacbe44492055f4102cb,1,1,0,0,0,planning_completeness,planning,False,1,Completion mode requires exactly one final navigation click (next/submit); found 0.,1,1,1,1,1,True,2,1,2,2,1,True,0,,1,Completion mode requires exactly one final navigation click (next/submit); found 0.,0,,0,,0,,0,,0,
completion,run_20,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_20,457779682d975ab48d02b26ab8528c43,1,1,0,0,0,planning_completeness,planning,False,1,Completion mode requires exactly one final navigation click (next/submit); found 0.,1,1,1,1,1,True,2,1,2,2,1,True,0,,1,Completion mode requires exactly one final navigation click (next/submit); found 0.,0,,0,,0,,0,,0,
completion,run_21,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_21,1baffb2416aad2d0b0dbeb607367cc83,2,2,0,0,0,planning_completeness,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'employment_status']",3,1,3,3,1,True,1,1,1,1,1,True,0,,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'employment_status']",0,,0,,0,,0,,0,
completion,run_22,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_22,39214136deceb12e96a4049a75d2ff63,15,1,14,0,0,answer_option_mapping,answer,True,5,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'mood_impact', 'value': 'Somewhat'}",,,,15,5,False,,,,0,0,False,0,,1,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],0,,14,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'mood_impact', 'value': 'Somewhat'}",0,,0,,0,
completion,run_23,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_23,e8eaa384e44a4aa6b09387a7ad87e029,0,0,0,0,0,,,False,1,,1,1,1,1,1,True,1,1,1,1,1,True,0,,0,,0,,0,,0,,0,,0,
