mode,run_name,run_dir,session_id,plan_reject_count,planning_failure_count,answer_failure_count,infra_failure_count,other_failure_count,dominant_category,dominant_failure_type,stalled,empty_plan_count,first_error,text_success_attempt,text_success_observe_index,text_total_attempts_until_success,text_total_attempts_observed,text_observe_blocks,text_success_found,image_success_attempt,image_success_observe_index,image_total_attempts_until_success,image_total_attempts_observed,image_observe_blocks,image_success_found,category_planning_format,sample_planning_format,category_planning_completeness,sample_planning_completeness,category_planning_schema_key,sample_planning_schema_key,category_answer_option_mapping,sample_answer_option_mapping,category_answer_value_constraints,sample_answer_value_constraints,category_infra_or_transport,sample_infra_or_transport,category_other,sample_other
completion,run_1,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v1\minicpm-v-2_6\completion\run_1,13e1c71919d3549a3a2cebc7d85e9c17,15,12,3,0,0,planning_format,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'age', 'follow_by_age', 'employment_status', 'watch_time', 'attention_text_mid', 'country_satisfaction', 'future_interest', 'favorite_moment']",,,,15,5,False,,,,0,0,False,8,"VLM did not return JSON array. Raw: Here is the plan to complete this survey: 1. Answer all answerable items before moving on. 2. Click ""Next"" after completing the page.  ### Plan  - **fill**: {""tool"":""fill"",""key"":""age"",",4,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'age', 'follow_by_age', 'employment_status', 'watch_time', 'attention_text_mid', 'country_satisfa",0,,2,"Select value must match ACTION_SPACE option: {'tool': 'select', 'key': 'attention_text_mid', 'value': 'Strongly agree'}",1,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
completion,run_2,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v1\minicpm-v-2_6\completion\run_2,6a2ac23669cbb8fdb07f624ac129009f,15,5,10,0,0,answer_value_constraints,answer,True,5,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",,,,15,5,False,,,,0,0,False,1,"Model output must be a JSON array, got: dict",4,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'follow_by_age', 'employment_status', 'watch_time', 'attention_text_mid', 'country_satisfaction',",0,,4,"Select value must match ACTION_SPACE option: {'tool': 'select', 'key': 'employment_status', 'value': 'not_much'}",6,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
completion,run_3,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v1\minicpm-v-2_6\completion\run_3,1f152d8bdd1e4279cd309d6660b41a15,15,6,9,0,0,answer_value_constraints,answer,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'age', 'follow_by_age', 'employment_status', 'watch_time', 'attention_text_mid', 'country_satisfaction', 'future_interest', 'favorite_moment']",,,,15,5,False,,,,0,0,False,0,,6,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'age', 'follow_by_age', 'employment_status', 'watch_time', 'attention_text_mid', 'country_satisfa",0,,0,,9,"Number value below min constraint: {'tool': 'fill', 'key': 'age', 'value': '1'}",0,,0,
completion,run_4,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v1\minicpm-v-2_6\completion\run_4,20a988d4f2d10c38b7043c4df2bb8683,15,9,6,0,0,answer_value_constraints,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'employment_status', 'attention_text_mid', 'country_satisfaction', 'future_interest', 'favorite_moment']",,,,15,5,False,,,,0,0,False,5,"VLM did not return JSON array. Raw: [   {""tool"": ""click"", ""key"": ""next""},   {     ""tool"": ""set_range"",     ""key"": ""watch_time"",     ""value"": 2.0,   },   {     ""tool"": ""select"",     ""key"": ""employment_status"",     ""value""",4,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'employment_status', 'attention_text_mid', 'country_satisfaction', 'future_interest', 'favorite_moment']",0,,0,,6,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
completion,run_5,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v1\minicpm-v-2_6\completion\run_5,bb72f0786833d7043db6414f99baa710,15,11,4,0,0,planning_format,planning,True,5,"Each step must be an object, got: 'fill'",,,,15,5,False,,,,0,0,False,6,"Each step must be an object, got: 'fill'",5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'age', 'follow_by_age', 'employment_status', 'watch_time', 'attention_text_mid', 'future_interest', 'favorite_mo",0,,0,,4,"Number value below min constraint: {'tool': 'fill', 'key': 'age', 'value': '1'}",0,,0,
completion,run_6,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v1\minicpm-v-2_6\completion\run_6,fcaa9301afd42df744530ef735442a46,15,7,8,0,0,answer_value_constraints,answer,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",,,,15,5,False,,,,0,0,False,4,"Model output must be a JSON array, got: dict",3,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,8,"Missing/invalid numeric value for set_range: {'tool': 'check', 'key': 'country_satisfaction', 'value': 'Strongly agree'}",0,,0,
completion,run_7,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v1\minicpm-v-2_6\completion\run_7,78fc37c856661f690548f3fad2d4cba3,15,7,8,0,0,answer_value_constraints,answer,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'age', 'follow_by_age', 'employment_status', 'watch_time', 'attention_text_mid', 'country_satisfaction', 'future_interest', 'favorite_moment']",,,,15,5,False,,,,0,0,False,2,"Model output must be a JSON array, got: dict",5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'age', 'follow_by_age', 'employment_status', 'watch_time', 'attention_text_mid', 'country_satisfa",0,,0,,8,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
completion,run_8,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v1\minicpm-v-2_6\completion\run_8,d49c4d8a97035aa173943f2552bcaa5e,15,8,7,0,0,answer_value_constraints,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'employment_status', 'attention_text_mid', 'country_satisfaction', 'future_interest', 'favorite_moment']",,,,15,5,False,,,,0,0,False,2,"VLM did not return JSON array. Raw: The correct plan to complete the survey is as follows: 1. Answer question 1 with a valid age. 2. Select ""Strongly disagree"" in answerable item (5) of trust coverage and click on it if ",6,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'employment_status', 'attention_text_mid', 'country_satisfaction', 'future_interest', 'favorite_m",0,,1,"Select value must match ACTION_SPACE option: {'tool': 'select', 'key': 'employment_status', 'value': 'not_much'}",6,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
completion,run_9,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v1\minicpm-v-2_6\completion\run_9,27ce7b8e2e1db91aa7e73718740a3865,15,14,1,0,0,planning_format,planning,True,5,"Missing/invalid numeric value for set_range: {'tool': 'select', 'key': 'watch_time', 'value': ''}",,,,15,5,False,,,,0,0,False,13,"VLM did not return JSON array. Raw: Here is the updated plan, addressing the validation feedback and ensuring all answerable items are included before any navigation actions:  1. Fill: {""tool"":""fill"",""key"":""age"",""value"":",1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'follow_by_age', 'employment_status', 'watch_time', 'attention_text_mid', 'country_satisfaction',",0,,0,,1,"Missing/invalid numeric value for set_range: {'tool': 'select', 'key': 'watch_time', 'value': ''}",0,,0,
completion,run_10,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v1\minicpm-v-2_6\completion\run_10,1e47a971adadf09bdc693c8287741c78,15,10,5,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'age', 'follow_by_age', 'employment_status', 'watch_time', 'attention_text_mid', 'country_satisfaction', 'future_interest', 'favorite_moment']",,,,15,5,False,,,,0,0,False,2,"VLM did not return JSON array. Raw: [   {""tool"":""fill"",""key"":""age"",""value"":""1""},   {""tool"":""select"",""key"":""trust_coverage"",""value"":""Disagree""},   {""tool"":""check"",""key"":""mood_impact"",""value"":""Strongly disagree""},   {""tool",7,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'age', 'follow_by_age', 'employment_status', 'watch_time', 'attention_text_mid', 'country_satisfa",1,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': '<field_key>', 'value': '<string>'}",0,,5,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
