mode,run_name,run_dir,text_completion_answered,text_completion_total,text_completion_rate,text_attention_ok,image_completion_answered,image_completion_total,image_completion_rate,image_accuracy_correct,image_accuracy_known_total,image_accuracy_rate,image_questions_all_correct,image_attention_ok,captcha_ok,overall_ok,reached_thank_you,submitted,validation_session_id,validation_submission_ts_utc,validation_match_delta_s,total_exec_steps,unique_answer_items_touched,next_click_count,submit_click_count,order_same_as_baseline,order_common_prefix_len,order_jaccard_overlap,order_sequence_ratio
completion,run_1,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_1,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,ac204eb28ee279827f33facb9f84f99c,2026-02-24T15:07:35.208000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_2,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_2,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,818385468f45061d9c07c8faf4fb229a,2026-02-24T15:08:05.477000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_3,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_3,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,771464e2918c4c0b2f1c13422cbd01fc,2026-02-24T15:08:34.106000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_4,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_4,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,367d2c87f0f76f69b41ff7355249e71b,2026-02-24T15:09:00.889000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_5,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_5,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,620ed68cda605d6b1c88d0ce37884832,2026-02-24T15:09:26.704000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_6,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_6,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,389160c4506512a891d4250a87734fa4,2026-02-24T15:09:53.071000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_7,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_7,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,f4e1f02df9a7fbcb0692f6cd3235fd8d,2026-02-24T15:10:16.238000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_8,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_8,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,c3ae0ea869eef0d16fb967b4f2d68633,2026-02-24T15:10:35.669000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_9,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_9,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,5bf2b926f78dc5c4a74a108754eede31,2026-02-24T15:11:05.191000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_10,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_10,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,ba79d49b5a8a06997e51ed47f28fca16,2026-02-24T15:11:30.235000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_11,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_11,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,eb8f97babd602a4a4667e3b7ed9993f2,2026-02-24T15:11:48.672000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_12,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_12,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,76c5ea2d49a618b3f46436de5167a146,2026-02-24T15:12:11.482000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_13,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\completion\run_13,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,75ddb9536465ad262a2f463c9a4044ff,2026-02-24T15:12:50.399000+00:00,,19,19,2,1,True,19,1.0,1.0
