mode,run_name,run_dir,text_completion_answered,text_completion_total,text_completion_rate,text_attention_ok,image_completion_answered,image_completion_total,image_completion_rate,image_accuracy_correct,image_accuracy_known_total,image_accuracy_rate,image_questions_all_correct,image_attention_ok,captcha_ok,overall_ok,reached_thank_you,submitted,validation_session_id,validation_submission_ts_utc,validation_match_delta_s,total_exec_steps,unique_answer_items_touched,next_click_count,submit_click_count,order_same_as_baseline,order_common_prefix_len,order_jaccard_overlap,order_sequence_ratio
completion,run_1,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v1\qwen2.5-vl-7b-instruct\completion\run_1,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,bdefb17c12fefa7b4e86fc2e41bc4075,2026-02-25T00:52:06.184000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_2,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v1\qwen2.5-vl-7b-instruct\completion\run_2,,,,,,,,,,,,,,,False,False,,,,11,11,1,0,False,11,0.5789473684210527,0.7333333333333333
completion,run_3,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v1\qwen2.5-vl-7b-instruct\completion\run_3,,,,,,,,,,,,,,,False,False,,,,11,11,1,0,False,11,0.5789473684210527,0.7333333333333333
completion,run_4,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v1\qwen2.5-vl-7b-instruct\completion\run_4,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,e344bb27b519416bdd627962ea639b5a,2026-02-25T00:54:07.144000+00:00,,19,19,2,1,False,11,1.0,0.9473684210526315
completion,run_5,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v1\qwen2.5-vl-7b-instruct\completion\run_5,,,,,,,,,,,,,,,False,False,,,,0,0,0,0,False,0,0.0,0.0
completion,run_6,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v1\qwen2.5-vl-7b-instruct\completion\run_6,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,2aaf9df3b941903c8b0feac9000371ea,2026-02-25T00:55:43.885000+00:00,,19,19,2,1,False,11,1.0,0.9473684210526315
completion,run_7,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v1\qwen2.5-vl-7b-instruct\completion\run_7,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,aab8997459ab756941ded942fdc94044,2026-02-25T00:56:31.105000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_8,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v1\qwen2.5-vl-7b-instruct\completion\run_8,,,,,,,,,,,,,,,False,False,,,,0,0,0,0,False,0,0.0,0.0
completion,run_9,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v1\qwen2.5-vl-7b-instruct\completion\run_9,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,57eefea03a1543a1b13e41d2f52b57d1,2026-02-25T00:58:14.053000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_10,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v1\qwen2.5-vl-7b-instruct\completion\run_10,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,b19cd1075831da7a6eff9dc1b00efddf,2026-02-25T00:59:11.437000+00:00,,19,19,2,1,False,11,1.0,0.9473684210526315
completion,run_11,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v1\qwen2.5-vl-7b-instruct\completion\run_11,9,9,1.0,True,4,4,1.0,1,4,0.25,False,True,True,False,True,True,4c40b8042771623fa7aeb7b3a33413d2,2026-02-25T00:59:49.403000+00:00,,19,19,2,1,False,11,1.0,0.9473684210526315
completion,run_12,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v1\qwen2.5-vl-7b-instruct\completion\run_12,9,9,1.0,True,4,4,1.0,1,4,0.25,False,True,True,False,True,True,f5f122fd4544e9f6884ea3ce590fef2b,2026-02-25T01:00:50.800000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_13,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v1\qwen2.5-vl-7b-instruct\completion\run_13,9,9,1.0,True,4,4,1.0,1,4,0.25,False,True,True,False,True,True,4313b599af0d6e75c08b6c3822015bbf,2026-02-25T01:01:34.614000+00:00,,19,19,2,1,False,0,1.0,0.8421052631578947
