mode,run_name,run_dir,text_completion_answered,text_completion_total,text_completion_rate,text_attention_ok,image_completion_answered,image_completion_total,image_completion_rate,image_accuracy_correct,image_accuracy_known_total,image_accuracy_rate,image_questions_all_correct,image_attention_ok,captcha_ok,overall_ok,reached_thank_you,submitted,validation_session_id,validation_submission_ts_utc,validation_match_delta_s,total_exec_steps,unique_answer_items_touched,next_click_count,submit_click_count,order_same_as_baseline,order_common_prefix_len,order_jaccard_overlap,order_sequence_ratio
unconstrained,run_1,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v1\mistral-7b-instruct-v0.3\unconstrained\run_1,7,9,0.7777777777777778,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,4f046505f26a231c70bda92b3cbdf3ef,2026-02-24T05:25:44.120000+00:00,,25,17,2,1,True,17,1.0,1.0
unconstrained,run_2,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v1\mistral-7b-instruct-v0.3\unconstrained\run_2,7,9,0.7777777777777778,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,88f02d6d0f1ceb14ced648b35fe77fda,2026-02-24T05:26:07.212000+00:00,,17,17,2,1,True,17,1.0,1.0
unconstrained,run_3,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v1\mistral-7b-instruct-v0.3\unconstrained\run_3,7,9,0.7777777777777778,True,4,4,1.0,2,4,0.5,False,False,True,False,True,True,cba716ae48f613e3f5f665fce0407f70,2026-02-24T05:26:30.162000+00:00,,17,17,2,1,True,17,1.0,1.0
unconstrained,run_4,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v1\mistral-7b-instruct-v0.3\unconstrained\run_4,7,9,0.7777777777777778,True,4,4,1.0,2,4,0.5,False,False,True,False,True,True,ac5b47719c600adce244f7b85728bffb,2026-02-24T05:26:54.216000+00:00,,17,17,2,1,True,17,1.0,1.0
unconstrained,run_5,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v1\mistral-7b-instruct-v0.3\unconstrained\run_5,7,9,0.7777777777777778,True,4,4,1.0,2,4,0.5,False,False,True,False,True,True,7dac2a7f98b0c0027886aba511a1dcc6,2026-02-24T05:27:16.313000+00:00,,17,17,2,1,True,17,1.0,1.0
unconstrained,run_6,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v1\mistral-7b-instruct-v0.3\unconstrained\run_6,7,9,0.7777777777777778,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,897b988ac036ff13bf2b49358a841d87,2026-02-24T05:27:38.606000+00:00,,17,17,2,1,True,17,1.0,1.0
unconstrained,run_7,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v1\mistral-7b-instruct-v0.3\unconstrained\run_7,0,0,,,0,0,,0,0,,,,,,True,False,,,,16,16,2,0,False,16,0.9411764705882353,0.9696969696969697
unconstrained,run_8,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v1\mistral-7b-instruct-v0.3\unconstrained\run_8,7,9,0.7777777777777778,True,4,4,1.0,2,4,0.5,False,False,True,False,True,True,d9c8f5937b7fcfbb75d29b3f6b58b0a4,2026-02-24T05:28:15.930000+00:00,,17,17,2,1,True,17,1.0,1.0
unconstrained,run_9,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v1\mistral-7b-instruct-v0.3\unconstrained\run_9,7,9,0.7777777777777778,True,4,4,1.0,1,4,0.25,False,True,True,False,True,True,bd6d2f9ef2969e94504d9546ff5ad9a9,2026-02-24T05:28:38.209000+00:00,,17,17,2,1,True,17,1.0,1.0
unconstrained,run_10,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v1\mistral-7b-instruct-v0.3\unconstrained\run_10,7,9,0.7777777777777778,True,4,4,1.0,1,4,0.25,False,True,True,False,True,True,ff03329ae6a4d3b595482a8e1138a879,2026-02-24T05:28:59.940000+00:00,,17,17,2,1,True,17,1.0,1.0
