mode,run_name,text_completion_answered,text_completion_total,text_completion_rate,text_attention_ok,image_completion_answered,image_completion_total,image_completion_rate,image_accuracy_correct,image_accuracy_known_total,image_accuracy_rate,image_questions_all_correct,image_attention_ok,captcha_ok,overall_ok,reached_thank_you,submitted,validation_session_id,validation_submission_ts_utc,validation_match_delta_s,total_exec_steps,unique_answer_items_touched,next_click_count,submit_click_count,order_same_as_baseline,order_common_prefix_len,order_jaccard_overlap,order_sequence_ratio
unconstrained,run_1,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,6fe137a4b27230cb90f1d74dd0100ab3,2026-02-24T18:18:07.711000+00:00,,19,19,2,1,True,19,1.0,1.0
unconstrained,run_2,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,4e3060afe38f0a40256823f87a40eefb,2026-02-24T18:18:36.475000+00:00,,19,19,2,1,True,19,1.0,1.0
unconstrained,run_3,9,9,1.0,True,4,4,1.0,1,4,0.25,False,True,True,False,True,True,dcb279bd45032b07ef083120184df51e,2026-02-24T18:19:12.118000+00:00,,19,19,2,1,True,19,1.0,1.0
unconstrained,run_4,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,e4c56a086107d69ee2a099792c2e46e0,2026-02-24T18:19:47.708000+00:00,,19,19,2,1,True,19,1.0,1.0
unconstrained,run_5,9,9,1.0,True,4,4,1.0,1,4,0.25,False,False,True,False,True,True,dfa2811eba0da5f2142d61dc01fcd50f,2026-02-24T18:21:09.667000+00:00,,39,19,2,1,False,0,1.0,0.8947368421052632
unconstrained,run_6,9,9,1.0,True,4,4,1.0,1,4,0.25,False,True,True,False,True,True,ef0a3e50785d22129f490fa0d5f079ec,2026-02-24T18:21:44.068000+00:00,,19,19,2,1,True,19,1.0,1.0
unconstrained,run_7,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,619926f51738b5085e606d2e2a14107e,2026-02-24T18:22:11.419000+00:00,,19,19,2,1,True,19,1.0,1.0
unconstrained,run_8,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,ffa5e5708502310ef0b4958894b52a68,2026-02-24T18:23:18.849000+00:00,,29,19,2,1,False,11,1.0,0.9473684210526315
unconstrained,run_9,9,9,1.0,True,4,4,1.0,1,4,0.25,False,True,True,False,True,True,0c00740d68c92e5c5d08c6c45af97f7b,2026-02-24T18:23:58.214000+00:00,,19,19,2,1,True,19,1.0,1.0
unconstrained,run_10,9,9,1.0,True,4,4,1.0,3,4,0.75,False,False,True,False,True,True,6d37971675aab415a485ea285c7210f1,2026-02-24T18:24:22.847000+00:00,,19,19,2,1,True,19,1.0,1.0
unconstrained,run_11,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,61875d8b56b512a89febdcb93536e6fe,2026-02-24T18:25:05.179000+00:00,,19,19,2,1,True,19,1.0,1.0
unconstrained,run_12,9,9,1.0,True,4,4,1.0,1,4,0.25,False,True,True,False,True,True,6005798f04bddc92db80dfd7bbe0aae3,2026-02-24T18:25:35.371000+00:00,,19,19,2,1,True,19,1.0,1.0
unconstrained,run_13,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,dcea2279a251d231ea8bbad8a93d7f07,2026-02-24T18:26:06.142000+00:00,,19,19,2,1,True,19,1.0,1.0
unconstrained,run_14,9,9,1.0,True,4,4,1.0,2,4,0.5,False,False,True,False,True,True,540cf0ca5b407b7091a5ce8c3e2234e7,2026-02-24T18:26:36.175000+00:00,,19,19,2,1,True,19,1.0,1.0
unconstrained,run_15,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,e0b887fe3d2d1291496aa6c808ce1262,2026-02-24T18:27:03.024000+00:00,,19,19,2,1,True,19,1.0,1.0
unconstrained,run_16,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,70a5c540482916ce7549095b93da60c9,2026-02-24T18:27:39.307000+00:00,,19,19,2,1,True,19,1.0,1.0
unconstrained,run_17,,,,,,,,,,,,,,,False,False,,,,0,0,0,0,False,0,0.0,0.0
unconstrained,run_18,9,9,1.0,True,4,4,1.0,2,4,0.5,False,False,True,False,True,True,0380dacdbcd43c5c14fc4a3221dc93cd,2026-02-24T18:28:43.522000+00:00,,19,19,2,1,True,19,1.0,1.0
unconstrained,run_19,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,54b3841178dd4091781d210efc562627,2026-02-24T18:29:13.454000+00:00,,19,19,2,1,True,19,1.0,1.0
unconstrained,run_20,9,9,1.0,True,4,4,1.0,1,4,0.25,False,True,True,False,True,True,4e072b95a555b5f6fbbea96dc258905a,2026-02-24T18:29:40.284000+00:00,,19,19,2,1,True,19,1.0,1.0
unconstrained,run_21,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,6ac217bb2d42b7f97b63a548f94be031,2026-02-24T18:30:29.486000+00:00,,19,19,2,1,True,19,1.0,1.0
unconstrained,run_22,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,825f87466bfc0045c810c50c2bf68a51,2026-02-24T18:31:15.483000+00:00,,19,19,2,1,True,19,1.0,1.0
unconstrained,run_23,,,,,,,,,,,,,,,False,False,,,,0,0,0,0,False,0,0.0,0.0
