mode,run_name,run_dir,text_completion_answered,text_completion_total,text_completion_rate,text_attention_ok,image_completion_answered,image_completion_total,image_completion_rate,image_accuracy_correct,image_accuracy_known_total,image_accuracy_rate,image_questions_all_correct,image_attention_ok,captcha_ok,overall_ok,reached_thank_you,submitted,validation_session_id,validation_submission_ts_utc,validation_match_delta_s,total_exec_steps,unique_answer_items_touched,next_click_count,submit_click_count,order_same_as_baseline,order_common_prefix_len,order_jaccard_overlap,order_sequence_ratio
completion,run_1,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_1,,,,,,,,,,,,,,,False,False,,,,0,0,0,0,True,0,1.0,1.0
completion,run_2,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_2,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,1e94cb0fcd31178404ab56d0b46c225a,2026-02-24T15:12:31.585000+00:00,,19,19,2,1,False,0,0.0,0.0
completion,run_3,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_3,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,3865c40dab81b2e75fa13cefc6004a6a,2026-02-24T15:12:54.134000+00:00,,19,19,2,1,False,0,0.0,0.0
completion,run_4,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_4,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,ca5276fbabd0c83f4152bfc3b2ec01a3,2026-02-24T15:13:18.601000+00:00,,19,19,2,1,False,0,0.0,0.0
completion,run_5,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_5,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,7b33048f4cfbcb388f791d0cb1a418d9,2026-02-24T15:13:51.967000+00:00,,19,19,2,1,False,0,0.0,0.0
completion,run_6,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_6,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,a1a4da5ec8325d2d18f41e49957ad9a7,2026-02-24T15:14:32.750000+00:00,,19,19,2,1,False,0,0.0,0.0
completion,run_7,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_7,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,8a1d66fbb7e2a024fa8201748ca6e147,2026-02-24T15:15:05.097000+00:00,,19,19,2,1,False,0,0.0,0.0
completion,run_8,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_8,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,d45dd54a82eb37b939625f5308e305f4,2026-02-24T15:15:28.964000+00:00,,19,19,2,1,False,0,0.0,0.0
completion,run_9,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_9,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,fb4a2a34d9b489f23fecf2696d0507bb,2026-02-24T15:15:49.411000+00:00,,19,19,2,1,False,0,0.0,0.0
completion,run_10,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_10,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,7c7b66f530281ef2ed5470550047da2c,2026-02-24T15:16:16.146000+00:00,,19,19,2,1,False,0,0.0,0.0
completion,run_11,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_11,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,167fdfdd62010738ab97c4a50038a3f3,2026-02-24T15:16:37.921000+00:00,,19,19,2,1,False,0,0.0,0.0
completion,run_12,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_12,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,00e9f1a540100d3e850bc25c69217cb7,2026-02-24T15:17:13.342000+00:00,,19,19,2,1,False,0,0.0,0.0
completion,run_13,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_13,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,4193f4f17b3f2365a1efe7bd6f0fd8b5,2026-02-24T15:17:47.043000+00:00,,19,19,2,1,False,0,0.0,0.0
completion,run_14,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_14,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,60fced501c3c10131ba5a0d9230be5e7,2026-02-24T15:18:30.493000+00:00,,19,19,2,1,False,0,0.0,0.0
completion,run_15,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_15,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,d9480c7335485a728934c4f1c141972d,2026-02-24T15:19:00.825000+00:00,,19,19,2,1,False,0,0.0,0.0
completion,run_16,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_16,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,1b124d0d63122eac90dd0bb03e20e237,2026-02-24T15:19:36.674000+00:00,,19,19,2,1,False,0,0.0,0.0
completion,run_17,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_17,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,d86106606471489b70666a58bcaa58ef,2026-02-24T15:20:17.805000+00:00,,19,19,2,1,False,0,0.0,0.0
completion,run_18,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_18,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,6a7eb1ae0b39d9fcfc4c4f172e35f281,2026-02-24T15:20:48.238000+00:00,,19,19,2,1,False,0,0.0,0.0
completion,run_19,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_19,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,dfd9efff7986cacbe44492055f4102cb,2026-02-24T15:21:14.621000+00:00,,19,19,2,1,False,0,0.0,0.0
completion,run_20,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_20,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,457779682d975ab48d02b26ab8528c43,2026-02-24T15:21:33.637000+00:00,,19,19,2,1,False,0,0.0,0.0
