mode,run_name,run_dir,text_completion_answered,text_completion_total,text_completion_rate,text_attention_ok,image_completion_answered,image_completion_total,image_completion_rate,image_accuracy_correct,image_accuracy_known_total,image_accuracy_rate,image_questions_all_correct,image_attention_ok,captcha_ok,overall_ok,reached_thank_you,submitted,validation_session_id,validation_submission_ts_utc,validation_match_delta_s,total_exec_steps,unique_answer_items_touched,next_click_count,submit_click_count,order_same_as_baseline,order_common_prefix_len,order_jaccard_overlap,order_sequence_ratio
unconstrained,run_1,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\unconstrained\run_1,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,f8704e558e232be1849ce898917c2e80,2026-02-24T05:19:06.661000+00:00,,19,19,2,1,True,19,1.0,1.0
unconstrained,run_2,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\unconstrained\run_2,5,9,0.5555555555555556,False,4,4,1.0,4,4,1.0,True,True,True,False,True,True,803a9709ffb15305cdbc74d2aec10034,2026-02-24T05:19:20.699000+00:00,,14,14,2,1,False,0,0.7368421052631579,0.8484848484848485
unconstrained,run_3,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\unconstrained\run_3,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,ea0326903b1dc4b2aa4d930915d8464a,2026-02-24T05:19:36.308000+00:00,,19,19,2,1,True,19,1.0,1.0
unconstrained,run_4,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\unconstrained\run_4,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,5def10872d44ed348858553d4d6433b3,2026-02-24T05:19:54.890000+00:00,,25,19,2,1,True,19,1.0,1.0
unconstrained,run_5,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\unconstrained\run_5,6,9,0.6666666666666666,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,04c30ba33aea40b861020ae8a6d89d49,2026-02-24T05:20:09.650000+00:00,,16,16,2,1,False,0,0.8421052631578947,0.8
unconstrained,run_6,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\unconstrained\run_6,8,9,0.8888888888888888,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,e1c3aa64c5c1dc7931cf51962731866d,2026-02-24T05:20:24.692000+00:00,,18,18,2,1,False,5,0.9473684210526315,0.972972972972973
unconstrained,run_7,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\unconstrained\run_7,7,9,0.7777777777777778,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,ca8bd51fae44d0abd17272033095fd54,2026-02-24T05:20:39.687000+00:00,,17,17,2,1,False,4,0.8947368421052632,0.9444444444444444
unconstrained,run_8,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\unconstrained\run_8,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,0e6d9a3d27aaf1e8c917c8dab792350b,2026-02-24T05:20:55.273000+00:00,,19,19,2,1,True,19,1.0,1.0
unconstrained,run_9,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\unconstrained\run_9,,,,,,,,,,,,,,,False,False,,,,0,0,0,0,False,0,0.0,0.0
unconstrained,run_10,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\unconstrained\run_10,8,9,0.8888888888888888,False,4,4,1.0,3,4,0.75,False,True,True,False,True,True,aad0113790109e56290149d0f52cf34b,2026-02-24T05:21:33.439000+00:00,,17,17,2,1,False,0,0.8947368421052632,0.8888888888888888
unconstrained,run_11,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\unconstrained\run_11,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,5f81c7ea4a855e951be199a69c0dfa02,2026-02-24T05:21:49.071000+00:00,,19,19,2,1,True,19,1.0,1.0
