mode,run_name,run_dir,session_id,plan_reject_count,planning_failure_count,answer_failure_count,infra_failure_count,other_failure_count,dominant_category,dominant_failure_type,stalled,empty_plan_count,first_error,text_success_attempt,text_success_observe_index,text_total_attempts_until_success,text_total_attempts_observed,text_observe_blocks,text_success_found,image_success_attempt,image_success_observe_index,image_total_attempts_until_success,image_total_attempts_observed,image_observe_blocks,image_success_found,category_planning_format,sample_planning_format,category_planning_completeness,sample_planning_completeness,category_planning_schema_key,sample_planning_schema_key,category_answer_option_mapping,sample_answer_option_mapping,category_answer_value_constraints,sample_answer_value_constraints,category_infra_or_transport,sample_infra_or_transport,category_other,sample_other
unconstrained,run_1,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\unconstrained\run_1,c1442e57b546c7bc6d31cfa67c938c6c,0,0,0,0,0,,,False,0,,1,1,1,1,1,True,1,1,1,1,1,True,0,,0,,0,,0,,0,,0,,0,
unconstrained,run_2,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\unconstrained\run_2,3ad065b84132fff74e871b44c8f6e39f,4,4,0,0,0,planning_schema_key,planning,False,1,"LLM did not return JSON array. Raw:
 [{""tool"":""fill"",""key"":""name"",""value"":""John Doe""},
 {""tool"":""fill"",""key"":""email"",""value"":""johndoe@example.com""},
 {""tool"":""select"",""key"":""gender"",""value"":""Male""},
 {""tool"":""click"",""key"":""submit""}",1,1,1,1,1,True,1,1,1,1,1,True,1,"LLM did not return JSON array. Raw:  [{""tool"":""fill"",""key"":""name"",""value"":""John Doe""},  {""tool"":""fill"",""key"":""email"",""value"":""johndoe@example.com""},  {""tool"":""select"",""key"":""gender"",""value"":""Male""},  {""tool"":""click"",""key",0,,3,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'firstName', 'value': 'John'}",0,,0,,0,,0,
unconstrained,run_3,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\unconstrained\run_3,2b420e72f58ac934311b6c9c87450c06,4,4,0,0,0,planning_schema_key,planning,False,1,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'firstName', 'value': 'John'}",1,1,1,1,1,True,1,1,1,1,1,True,0,,0,,4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'firstName', 'value': 'John'}",0,,0,,0,,0,
unconstrained,run_4,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\unconstrained\run_4,df92dcdeb9c06234dcb280618d241ec6,4,4,0,0,0,planning_schema_key,planning,False,1,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",1,1,1,1,1,True,1,1,1,8,8,True,0,,0,,4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
unconstrained,run_5,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\unconstrained\run_5,5b141e6840451e3cef42c6985fceddc1,0,0,0,0,0,,,False,0,,1,1,1,1,1,True,1,1,1,1,1,True,0,,0,,0,,0,,0,,0,,0,
unconstrained,run_6,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\unconstrained\run_6,44c5b8bd1c69e7d6dfb86fff86991767,4,4,0,0,0,planning_schema_key,planning,False,1,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'username', 'value': 'testuser'}",1,1,1,1,1,True,1,1,1,1,1,True,0,,0,,4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'username', 'value': 'testuser'}",0,,0,,0,,0,
unconstrained,run_7,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\unconstrained\run_7,931ea0e2f44c81a1523021e081b39ebb,4,4,0,0,0,planning_schema_key,planning,False,1,"LLM did not return JSON array. Raw:
 [{""tool"":""fill"",""key"":""Name"",""value"":""John Doe""},
 {""tool"":""fill"",""key"":""Email"",""value"":""johndoe@example.com""},
 {""tool"":""select"",""key"":""Country"",""value"":""United States""},
 {""tool"":""click"",""key"":""submit""}",1,1,1,1,1,True,1,1,1,3,3,True,1,"LLM did not return JSON array. Raw:  [{""tool"":""fill"",""key"":""Name"",""value"":""John Doe""},  {""tool"":""fill"",""key"":""Email"",""value"":""johndoe@example.com""},  {""tool"":""select"",""key"":""Country"",""value"":""United States""},  {""tool"":""c",0,,3,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'firstName', 'value': 'John'}",0,,0,,0,,0,
unconstrained,run_8,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\unconstrained\run_8,c953ae89c4ebe902760a3b585cccd0e3,0,0,0,0,0,,,False,0,,1,1,1,1,1,True,1,1,1,2,2,True,0,,0,,0,,0,,0,,0,,0,
unconstrained,run_9,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\unconstrained\run_9,700e1c940d1017f34b63aa89323b52a5,4,4,0,0,0,planning_schema_key,planning,False,1,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",1,1,1,1,1,True,1,1,1,1,1,True,0,,0,,4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
unconstrained,run_10,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\unconstrained\run_10,6589ef1418f872eeabfaf49a8bf018ac,0,0,0,0,0,,,False,0,,1,1,1,1,1,True,1,1,1,1,1,True,0,,0,,0,,0,,0,,0,,0,
unconstrained,run_11,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\unconstrained\run_11,15ffb8225fb314152f7b26d3a0a826bf,4,4,0,0,0,planning_schema_key,planning,False,1,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'username', 'value': 'testuser'}",1,1,1,1,1,True,1,1,1,13,13,True,0,,0,,4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'username', 'value': 'testuser'}",0,,0,,0,,0,
unconstrained,run_12,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\unconstrained\run_12,ef8be68822edbeffc825ce27f6f7b955,4,4,0,0,0,planning_schema_key,planning,False,1,"LLM did not return JSON array. Raw:
 [{""tool"":""fill"",""key"":""name"",""value"":""John Doe""},
 {""tool"":""fill"",""key"":""email"",""value"":""johndoe@example.com""},
 {""tool"":""select"",""key"":""gender"",""value"":""Male""},
 {""tool"":""click"",""key"":""submit""}",1,1,1,1,1,True,1,1,1,1,1,True,1,"LLM did not return JSON array. Raw:  [{""tool"":""fill"",""key"":""name"",""value"":""John Doe""},  {""tool"":""fill"",""key"":""email"",""value"":""johndoe@example.com""},  {""tool"":""select"",""key"":""gender"",""value"":""Male""},  {""tool"":""click"",""key",0,,3,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'firstName', 'value': 'John'}",0,,0,,0,,0,
unconstrained,run_13,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\unconstrained\run_13,bb469d30f37f40f9e1bb474738ad72f3,4,4,0,0,0,planning_schema_key,planning,False,1,"LLM did not return JSON array. Raw:
 [{""tool"":""fill"",""key"":""name"",""value"":""John Doe""},
 {""tool"":""fill"",""key"":""email"",""value"":""johndoe@example.com""},
 {""tool"":""select"",""key"":""gender"",""value"":""Male""},
 {""tool"":""check"",""key"":""hobbies"",""value"":""Reading""},
 {""tool"":""set_range"",""key"":""age"",""value"":30},
 {""tool"":""click"",""key"":""submit""}",1,1,1,1,1,True,1,1,1,1,1,True,1,"LLM did not return JSON array. Raw:  [{""tool"":""fill"",""key"":""name"",""value"":""John Doe""},  {""tool"":""fill"",""key"":""email"",""value"":""johndoe@example.com""},  {""tool"":""select"",""key"":""gender"",""value"":""Male""},  {""tool"":""check"",""key",0,,3,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
