mode,run_name,text_completion_answered,text_completion_total,text_completion_rate,text_attention_ok,image_completion_answered,image_completion_total,image_completion_rate,image_accuracy_correct,image_accuracy_known_total,image_accuracy_rate,image_questions_all_correct,image_attention_ok,captcha_ok,overall_ok,reached_thank_you,submitted,validation_session_id,validation_submission_ts_utc,validation_match_delta_s,total_exec_steps,unique_answer_items_touched,next_click_count,submit_click_count,order_same_as_baseline,order_common_prefix_len,order_jaccard_overlap,order_sequence_ratio
completion,run_1,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,81eaf09af923dabc264f8835336232bf,2026-02-24T15:03:08.662000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_2,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,f0df424dcd0be079ba4d2438476a47d8,2026-02-24T15:03:37.676000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_3,9,9,1.0,True,4,4,1.0,1,4,0.25,False,True,True,False,True,True,1b30578effb5eef54ff3b04317119306,2026-02-24T15:04:02.763000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_4,9,9,1.0,True,4,4,1.0,1,4,0.25,False,True,True,False,True,True,f2c7a03269cd018475277a6e4e83015c,2026-02-24T15:04:28.617000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_5,9,9,1.0,True,4,4,1.0,2,4,0.5,False,False,True,False,True,True,d4abbc22cde62ca26cb20e5280e2c728,2026-02-24T15:04:54.802000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_6,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,ebb5f25d290f5c217642d393d77905ce,2026-02-24T15:05:27.577000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_7,9,9,1.0,True,4,4,1.0,1,4,0.25,False,True,True,False,True,True,6474c8ba38cc6cf49548066d423ff6cb,2026-02-24T15:05:59.318000+00:00,,19,19,2,1,False,0,1.0,0.8947368421052632
completion,run_8,,,,,,,,,,,,,,,True,False,,,,18,18,2,0,False,18,0.9473684210526315,0.972972972972973
completion,run_9,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,93d40d1bc2201fc54be851c9f3c3612c,2026-02-24T15:06:45.224000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_10,9,9,1.0,True,4,4,1.0,2,4,0.5,False,False,True,False,True,True,4f5ca86b8fe6435a488aad83a33093b9,2026-02-24T15:07:10.891000+00:00,,19,19,2,1,True,19,1.0,1.0
