mode,run_name,run_dir,text_completion_answered,text_completion_total,text_completion_rate,text_attention_ok,image_completion_answered,image_completion_total,image_completion_rate,image_accuracy_correct,image_accuracy_known_total,image_accuracy_rate,image_questions_all_correct,image_attention_ok,captcha_ok,overall_ok,reached_thank_you,submitted,validation_session_id,validation_submission_ts_utc,validation_match_delta_s,total_exec_steps,unique_answer_items_touched,next_click_count,submit_click_count,order_same_as_baseline,order_common_prefix_len,order_jaccard_overlap,order_sequence_ratio
completion,run_1,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\completion\run_1,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,c98c8da43df8a29e08410c89f2eb524e,2026-02-24T02:27:41.063000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_2,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\completion\run_2,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,beaab4651819055aa17013733e8fa36c,2026-02-24T02:28:07.529000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_3,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\completion\run_3,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,718fc0ee3539fc279802026ae8217b6b,2026-02-24T02:28:33.712000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_4,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\completion\run_4,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,dcd8fc1636a00e9e8c9c687bbcac419e,2026-02-24T02:28:59.459000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_5,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\completion\run_5,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,ca5ad042fb5c65de502c7f80c6af655d,2026-02-24T02:29:24.127000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_6,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\completion\run_6,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,2fa9f253edb94e3d7e58e0e393f39ec2,2026-02-24T02:29:49.208000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_7,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\completion\run_7,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,5fe6a23d2dcea336883c62dcb81a0133,2026-02-24T02:30:14.806000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_8,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\completion\run_8,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,7c00c15346439811b85381f9192cc675,2026-02-24T02:30:41.441000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_9,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\completion\run_9,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,11cb45754691f45cd9a1e5d5fe418495,2026-02-24T02:31:05.588000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_10,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\completion\run_10,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,2c34d30278b13a8eec81fc7cef12b6b8,2026-02-24T02:31:33.406000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_11,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\completion\run_11,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,3724da2477e1bca78491ab6c491d7027,2026-02-24T02:32:02.470000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_12,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\completion\run_12,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,7b21f31e160b7132340be683bf0c0a94,2026-02-24T02:32:29.103000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_13,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\completion\run_13,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,3212b89d348872dcbbd21fc7992d295f,2026-02-24T02:32:55.476000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_14,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\completion\run_14,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,2f80d07b2c6e4643fb3f7dc3668e4e89,2026-02-24T02:33:32.001000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_15,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\completion\run_15,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,14b2c4e0879bc1c85f480520a273f7a5,2026-02-24T02:34:00.634000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_16,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\completion\run_16,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,17bfb41513aec99b33c636a2c1dbdf60,2026-02-24T02:34:29.171000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_17,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\completion\run_17,0,0,,,0,0,,0,0,,,,,,True,False,,,,18,18,2,0,False,18,0.9473684210526315,0.972972972972973
completion,run_18,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\completion\run_18,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,e148d795d4eb60f01b6ba52c029719a9,2026-02-24T02:35:13.314000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_19,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\completion\run_19,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,f05882133e99676a3de9b4b384fb0b79,2026-02-24T02:35:38.162000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_20,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\completion\run_20,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,5bcb3648e45ff82096ee8a9e79d01659,2026-02-24T02:36:03.362000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_21,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\mistral-7b-instruct-v0.3\completion\run_21,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,990f788a4b655eead698ffbf38779b4a,2026-02-24T02:36:28.279000+00:00,,19,19,2,1,True,19,1.0,1.0
