mode,run_name,text_completion_answered,text_completion_total,text_completion_rate,text_attention_ok,image_completion_answered,image_completion_total,image_completion_rate,image_accuracy_correct,image_accuracy_known_total,image_accuracy_rate,image_questions_all_correct,image_attention_ok,captcha_ok,overall_ok,reached_thank_you,submitted,validation_session_id,validation_submission_ts_utc,validation_match_delta_s,total_exec_steps,unique_answer_items_touched,next_click_count,submit_click_count,order_same_as_baseline,order_common_prefix_len,order_jaccard_overlap,order_sequence_ratio
completion,run_1,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,151d00799d7185afd605762bd9dbc6da,2026-02-24T16:47:55.089000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_2,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,4ca010d41dd95052c1a58d02581d19f5,2026-02-24T16:48:22.007000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_3,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,9da00118cb9c005fe5150ff102792bb1,2026-02-24T16:48:48.423000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_4,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,bbb3d26d073a1a9c98f20f69547bca6d,2026-02-24T16:49:09.738000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_5,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,e050a61853f9f551f89bfb66cba1eb88,2026-02-24T16:49:39.603000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_6,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,9031d8780791e7f93716bd21c46002fe,2026-02-24T16:50:00.636000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_7,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,f8b9db32d2b743fccddead5865e6235d,2026-02-24T16:50:21.984000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_8,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,65d63d62a7313974b1b051af9220f48f,2026-02-24T16:50:45.401000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_9,9,9,1.0,True,4,4,1.0,1,4,0.25,False,True,True,False,True,True,e2d5ffab8fe4643d2ac2a953d520d91e,2026-02-24T16:51:12.800000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_10,9,9,1.0,True,4,4,1.0,2,4,0.5,False,False,True,False,True,True,b11311357f392c5b92345e97bf58b7fb,2026-02-24T16:51:37.108000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_11,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,f2d4d3d164fe9df2390444a737a4239c,2026-02-24T16:52:00.964000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_12,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,2f9e8e5f3d9534d8d6e911eaed1b5c99,2026-02-24T16:52:23.963000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_13,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,4a523d4f4a234fb637d6197275f565e6,2026-02-24T16:52:49.115000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_14,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,af526cd9129e55dfb21a613a730d6f4a,2026-02-24T16:53:16.248000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_15,9,9,1.0,True,4,4,1.0,2,4,0.5,False,False,True,False,True,True,79824339c41c3b0d529a9a5751c6a000,2026-02-24T16:53:51.280000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_16,9,9,1.0,True,4,4,1.0,3,4,0.75,False,False,True,False,True,True,66c75b3239bbf5837607e9386f539592,2026-02-24T16:54:15.928000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_17,9,9,1.0,True,4,4,1.0,1,4,0.25,False,True,True,False,True,True,76e02a1276410c373ade4273bbd36455,2026-02-24T16:54:43.176000+00:00,,19,19,2,1,True,19,1.0,1.0
