mode,run_name,run_dir,text_completion_answered,text_completion_total,text_completion_rate,text_attention_ok,image_completion_answered,image_completion_total,image_completion_rate,image_accuracy_correct,image_accuracy_known_total,image_accuracy_rate,image_questions_all_correct,image_attention_ok,captcha_ok,overall_ok,reached_thank_you,submitted,validation_session_id,validation_submission_ts_utc,validation_match_delta_s,total_exec_steps,unique_answer_items_touched,next_click_count,submit_click_count,order_same_as_baseline,order_common_prefix_len,order_jaccard_overlap,order_sequence_ratio
unconstrained,run_1,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\unconstrained\run_1,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,5e8bcbc5ba2909d3afad980e079fcd21,2026-02-24T05:27:10.242000+00:00,,19,19,2,1,True,19,1.0,1.0
unconstrained,run_2,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\unconstrained\run_2,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,7e2b9f08a668f3ee304fb8257705b68e,2026-02-24T05:27:37.809000+00:00,,19,19,2,1,True,19,1.0,1.0
unconstrained,run_3,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\unconstrained\run_3,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,8bc0f6309ccc306cb82f8fb0149b279f,2026-02-24T05:28:07.790000+00:00,,19,19,2,1,True,19,1.0,1.0
unconstrained,run_4,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\unconstrained\run_4,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,e576bb523ad081025fe7857a0393b274,2026-02-24T05:28:38.973000+00:00,,19,19,2,1,True,19,1.0,1.0
unconstrained,run_5,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\unconstrained\run_5,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,41cdac63ae2385f806b108884693489a,2026-02-24T05:29:03.198000+00:00,,19,19,2,1,True,19,1.0,1.0
unconstrained,run_6,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\unconstrained\run_6,8,9,0.8888888888888888,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,618c504ab29ad1fa47c28476b8a25300,2026-02-24T05:29:49.189000+00:00,,18,18,2,1,False,4,0.9473684210526315,0.972972972972973
unconstrained,run_7,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\unconstrained\run_7,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,6d059ef4da23bc4b2b82771a870407bb,2026-02-24T05:30:40.972000+00:00,,19,19,2,1,True,19,1.0,1.0
unconstrained,run_8,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\unconstrained\run_8,0,0,,,0,0,,0,0,,,,,,False,False,,,,0,0,0,0,False,0,0.0,0.0
unconstrained,run_9,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\unconstrained\run_9,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,74577a242d35e705617f54abc1f83297,2026-02-24T05:32:01.353000+00:00,,19,19,2,1,True,19,1.0,1.0
unconstrained,run_10,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\unconstrained\run_10,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,986922eb494921279c55d7e403d1cf7d,2026-02-24T05:32:43.118000+00:00,,19,19,2,1,True,19,1.0,1.0
unconstrained,run_11,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\meta-llama-3-8b-instruct\unconstrained\run_11,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,945df67d630af890e0b2737f81a8a2dd,2026-02-24T05:33:28.066000+00:00,,19,19,2,1,True,19,1.0,1.0
