mode,run_name,session_id,plan_reject_count,planning_failure_count,answer_failure_count,infra_failure_count,other_failure_count,dominant_category,dominant_failure_type,stalled,empty_plan_count,first_error,text_success_attempt,text_success_observe_index,text_total_attempts_until_success,text_total_attempts_observed,text_observe_blocks,text_success_found,image_success_attempt,image_success_observe_index,image_total_attempts_until_success,image_total_attempts_observed,image_observe_blocks,image_success_found,category_planning_format,sample_planning_format,category_planning_completeness,sample_planning_completeness,category_planning_schema_key,sample_planning_schema_key,category_answer_option_mapping,sample_answer_option_mapping,category_answer_value_constraints,sample_answer_value_constraints,category_infra_or_transport,sample_infra_or_transport,category_other,sample_other
completion,run_1,81eaf09af923dabc264f8835336232bf,6,6,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,1,3,3,1,True,1,1,1,1,1,True,0,,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_2,f0df424dcd0be079ba4d2438476a47d8,6,6,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,1,3,3,1,True,1,1,1,1,1,True,0,,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_3,1b30578effb5eef54ff3b04317119306,5,5,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,0,,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_4,f2c7a03269cd018475277a6e4e83015c,5,5,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,0,,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_5,d4abbc22cde62ca26cb20e5280e2c728,5,5,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,0,,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_6,ebb5f25d290f5c217642d393d77905ce,8,8,0,0,0,planning_schema_key,planning,False,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,2,5,5,2,True,1,1,1,1,1,True,0,,4,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_7,6474c8ba38cc6cf49548066d423ff6cb,8,8,0,0,0,planning_schema_key,planning,False,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,2,5,5,2,True,1,1,1,1,1,True,0,,4,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'set_range', 'key': 'age', 'value': 30}",0,,0,,0,,0,
completion,run_8,458419c04acbe1fa0ca5d2cb05bfc0ea,2,2,0,0,0,planning_schema_key,planning,False,0,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,0,,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'firstName', 'value': 'John'}",0,,0,,0,,0,
completion,run_9,93d40d1bc2201fc54be851c9f3c3612c,5,5,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,0,,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_10,4f5ca86b8fe6435a488aad83a33093b9,5,5,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,0,,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'firstName', 'value': 'John'}",0,,0,,0,,0,
completion,run_11,43cd077dcd8c065794f8beca11b3670b,4,4,0,0,0,planning_schema_key,planning,False,1,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",1,1,1,1,1,True,1,1,1,1,1,True,0,,0,,4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_12,a65ea240e20bde1e51eec829d62a5444,5,5,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,0,,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_13,eb94e8580e2ee9e1dd2ec78cbc2034d9,8,8,0,0,0,planning_completeness,planning,False,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,2,5,5,2,True,1,1,1,1,1,True,1,"LLM did not return JSON array. Raw:  [{""tool"":""fill"",""key"":""firstName"",""value"":""John""},  {""tool"":""fill"",""key"":""lastName"",""value"":""Doe""},  {""tool"":""select"",""key"":""gender"",""value"":""Male""},  {""tool"":""set_range"",""key"":""age"",",4,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'firstName', 'value': 'John'}",0,,0,,0,,0,
completion,run_14,2b51dc9a8a4e15f2098d5219bc6ab082,4,4,0,0,0,planning_schema_key,planning,False,1,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",1,1,1,1,1,True,1,1,1,1,1,True,0,,0,,4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_15,5e443f630486659533bbb498621fcc49,6,6,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,0,,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'firstName', 'value': 'John'}",0,,0,,0,,0,
completion,run_16,64ac7bfb8afdaf882ffa4c9624c9007e,5,5,0,0,0,planning_schema_key,planning,False,1,"LLM did not return JSON array. Raw:
 [{""tool"":""fill"",""key"":""name"",""value"":""John Doe""},
 {""tool"":""fill"",""key"":""email"",""value"":""johndoe@example.com""},
 {""tool"":""select"",""key"":""gender"",""value"":""Male""},
 {""tool"":""check"",""key"":""hobbies"",""value"":""Reading""},
 {""tool"":""set_range"",""key"":""age"",""value"":30},
 {""tool"":""click"",""key"":""submit""}",1,1,1,1,1,True,1,1,1,1,1,True,1,"LLM did not return JSON array. Raw:  [{""tool"":""fill"",""key"":""name"",""value"":""John Doe""},  {""tool"":""fill"",""key"":""email"",""value"":""johndoe@example.com""},  {""tool"":""select"",""key"":""gender"",""value"":""Male""},  {""tool"":""check"",""key",0,,4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
