mode,run_name,run_dir,session_id,plan_reject_count,planning_failure_count,answer_failure_count,infra_failure_count,other_failure_count,dominant_category,dominant_failure_type,stalled,empty_plan_count,first_error,text_success_attempt,text_success_observe_index,text_total_attempts_until_success,text_total_attempts_observed,text_observe_blocks,text_success_found,image_success_attempt,image_success_observe_index,image_total_attempts_until_success,image_total_attempts_observed,image_observe_blocks,image_success_found,category_planning_format,sample_planning_format,category_planning_completeness,sample_planning_completeness,category_planning_schema_key,sample_planning_schema_key,category_answer_option_mapping,sample_answer_option_mapping,category_answer_value_constraints,sample_answer_value_constraints,category_infra_or_transport,sample_infra_or_transport,category_other,sample_other
completion,run_1,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_1,94eb31fa1ff029c65fd26d04e2a8dae2,14,13,1,0,0,planning_completeness,planning,False,5,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],1,4,10,10,4,True,2,2,5,5,2,True,0,,13,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'attention_image_mid'}",0,,0,,0,
completion,run_2,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_2,139b5f9f59d5404c452f5d0234322f22,17,17,0,0,0,planning_schema_key,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,1,3,3,1,True,,,,15,5,False,0,,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",12,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",0,,0,,0,,0,
completion,run_3,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_3,69c024126b9ae68c7abaa511e20e3ad6,20,20,0,0,0,planning_schema_key,planning,True,6,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,2,6,6,2,True,,,,15,5,False,0,,8,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",12,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",0,,0,,0,,0,
completion,run_4,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_4,7ac8bf715eac861e6ba3422f06278627,14,13,1,0,0,planning_completeness,planning,False,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,5,14,14,5,True,2,1,2,2,1,True,0,,12,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",0,,1,"Missing/invalid numeric value for set_range: {'tool': 'click', 'key': 'watch_time'}",0,,0,
completion,run_5,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_5,c045063f16da11ce5b7175b25be58f04,8,8,0,0,0,planning_completeness,planning,False,3,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],2,3,8,8,3,True,2,1,2,2,1,True,0,,8,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],0,,0,,0,,0,,0,
completion,run_6,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_6,5ff678a239ecbae2d82a23e6e35e369c,5,5,0,0,0,planning_completeness,planning,False,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,2,5,5,2,True,2,1,2,2,1,True,0,,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_7,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_7,39f7e50f681cd4acf574e2adbbb9e749,10,8,2,0,0,planning_completeness,planning,False,4,"Missing/invalid value for fill: {'tool': 'click', 'key': 'age'}",2,3,8,8,3,True,1,2,4,4,2,True,0,,8,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'attention_image_mid'}",1,"Missing/invalid value for fill: {'tool': 'click', 'key': 'age'}",0,,0,
completion,run_8,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_8,5f5ee75eb8408d879c80012043068c1d,15,12,3,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",,,,15,5,False,,,,0,0,False,0,,12,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,3,"Fill value for number field must be numeric: {'tool': 'fill', 'key': 'age', 'value': ""<user's age>""}",0,,0,
completion,run_9,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_9,6d0aa1797b3cb599de4066096fdfeea9,5,5,0,0,0,planning_completeness,planning,False,2,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],3,2,6,6,2,True,1,1,1,1,1,True,0,,5,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],0,,0,,0,,0,,0,
completion,run_10,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_10,73552973c6538a65cda6ec5616abfbe4,11,9,2,0,0,planning_completeness,planning,False,4,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],2,2,5,5,2,True,2,3,8,8,3,True,0,,8,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],1,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",2,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'image_q1'}",0,,0,,0,
