mode,run_name,run_dir,text_completion_answered,text_completion_total,text_completion_rate,text_attention_ok,image_completion_answered,image_completion_total,image_completion_rate,image_accuracy_correct,image_accuracy_known_total,image_accuracy_rate,image_questions_all_correct,image_attention_ok,captcha_ok,overall_ok,reached_thank_you,submitted,validation_session_id,validation_submission_ts_utc,validation_match_delta_s,total_exec_steps,unique_answer_items_touched,next_click_count,submit_click_count,order_same_as_baseline,order_common_prefix_len,order_jaccard_overlap,order_sequence_ratio
completion,run_1,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_1,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,535e04b5fcafe7c01b3272beadb00401,2026-02-24T03:51:02.002000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_2,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_2,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,80f86ce1cec7b096be5fe9264f97b566,2026-02-24T03:51:21.600000+00:00,,19,19,2,1,False,0,1.0,0.8947368421052632
completion,run_3,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_3,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,6f560a73be7abd9539551420f888e9d4,2026-02-24T03:51:37.982000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_4,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_4,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,81a1c43db590db849e324d7a2eb0e2ed,2026-02-24T03:51:54.782000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_5,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_5,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,dc1d3aef9ef444248ff8159fb83a20e5,2026-02-24T03:52:11.715000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_6,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_6,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,b50738759d8b35d2a3a4fb64ce676d2a,2026-02-24T03:52:29.581000+00:00,,19,19,2,1,False,0,1.0,0.8947368421052632
completion,run_7,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_7,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,f2be34136433f0f307342fd88cde3d8a,2026-02-24T03:52:48.898000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_8,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_8,0,0,,,0,0,,0,0,,,,,,False,False,,,,0,0,0,0,False,0,0.0,0.0
completion,run_9,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_9,9,9,1.0,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,125854f7ddde5453a913c0d7765f308a,2026-02-24T03:53:36.290000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_10,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_10,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,29f638b7cd5aadf286d468f98665b2b0,2026-02-24T03:53:58.694000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_11,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_11,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,300ece8be5853a3fc228c8dbd091612e,2026-02-24T03:54:17.670000+00:00,,19,19,2,1,False,0,1.0,0.8421052631578947
completion,run_12,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_12,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,9f4f4f022e1df7a5f9ebe8b4b8df8da7,2026-02-24T03:54:37.503000+00:00,,19,19,2,1,False,0,1.0,0.8947368421052632
completion,run_13,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_13,0,0,,,0,0,,0,0,,,,,,False,False,,,,0,0,0,0,False,0,0.0,0.0
completion,run_14,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_14,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,9ab58f4199771d72761a8cbd4b504210,2026-02-24T03:55:31.305000+00:00,,19,19,2,1,False,0,1.0,0.8947368421052632
completion,run_15,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_15,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,49055dac6ba4a83d2470ec3f9cdffa37,2026-02-24T03:56:01.306000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_16,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_16,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,ba6f45635bae4ce49bbd816fe8f62cd4,2026-02-24T03:56:16.871000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_17,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_17,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,808bea7b57b88c05e55e358f2b57bc64,2026-02-24T03:56:32.321000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_18,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_18,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,e22b6bd5596a6e6b03869c98188ab750,2026-02-24T03:56:50.503000+00:00,,19,19,2,1,False,0,1.0,0.8947368421052632
completion,run_19,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_19,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,688b1b756847d2d6538737190820fd1d,2026-02-24T03:57:08.470000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_20,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_20,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,3ee2974a54da31081828206af7b7566e,2026-02-24T03:57:25.671000+00:00,,19,19,2,1,False,0,1.0,0.8947368421052632
completion,run_21,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_21,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,34b4f8e1371a8696f455217ed99ec4fe,2026-02-24T03:57:47.634000+00:00,,19,19,2,1,False,0,1.0,0.8947368421052632
completion,run_22,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_22,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,36a4565b99a6cca235690bcbed60ae23,2026-02-24T03:58:12.034000+00:00,,19,19,2,1,False,1,1.0,0.8947368421052632
completion,run_23,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_23,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,d027906f0e08e05a895ce09d86fce9ca,2026-02-24T03:58:31.450000+00:00,,19,19,2,1,False,0,1.0,0.8421052631578947
completion,run_24,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_24,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,ab0ac66e6972832f968626424ce69eb3,2026-02-24T03:59:11.615000+00:00,,19,19,2,1,False,0,1.0,0.8947368421052632
completion,run_25,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_25,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,eaa22ea762763401b12556c9ba581752,2026-02-24T03:59:27.232000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_26,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_26,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,70110854b6c42d9743b83c1be9fa91ae,2026-02-24T03:59:42.630000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_27,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_27,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,47b6393e5350aef071d822c0e4d3fc95,2026-02-24T03:59:58.378000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_28,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_28,9,9,1.0,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,94e7154659396f045a82edf21f0ac9bd,2026-02-24T04:00:14.212000+00:00,,19,19,2,1,True,19,1.0,1.0
completion,run_29,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_29,9,9,1.0,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,93f9861093fc5068d18a7ac4f1c45d60,2026-02-24T04:00:32.446000+00:00,,19,19,2,1,False,0,1.0,0.8947368421052632
completion,run_30,C:\Users\sbp5911\Visual Studio Code Workspace\Attention-Agents\Agent\runs\survey_v0\qwen2.5-7b-instruct-1m\completion\run_30,0,0,,,0,0,,0,0,,,,,,False,False,,,,0,0,0,0,False,0,0.0,0.0
